B:12.00 R:500.00 C:0.25 t-start:0.00 t-end:100.00
time(mu s) | voltage(volts)
---------------------------
       0.0 |        0.00
       0.5 |        0.05
       1.0 |        0.10
       1.5 |        0.14
       2.0 |        0.19
       2.5 |        0.24
       3.0 |        0.28
       3.5 |        0.33
       4.0 |        0.38
       4.5 |        0.42
       5.0 |        0.47
       5.5 |        0.52
       6.0 |        0.56
       6.5 |        0.61
       7.0 |        0.65
       7.5 |        0.70
       8.0 |        0.74
       8.5 |        0.79
       9.0 |        0.83
       9.5 |        0.88
      10.0 |        0.92
      10.5 |        0.97
      11.0 |        1.01
      11.5 |        1.05
      12.0 |        1.10
      12.5 |        1.14
      13.0 |        1.19
      13.5 |        1.23
      14.0 |        1.27
      14.5 |        1.31
      15.0 |        1.36
      15.5 |        1.40
      16.0 |        1.44
      16.5 |        1.48
      17.0 |        1.53
      17.5 |        1.57
      18.0 |        1.61
      18.5 |        1.65
      19.0 |        1.69
      19.5 |        1.73
      20.0 |        1.77
      20.5 |        1.82
      21.0 |        1.86
      21.5 |        1.90
      22.0 |        1.94
      22.5 |        1.98
      23.0 |        2.02
      23.5 |        2.06
      24.0 |        2.10
      24.5 |        2.14
      25.0 |        2.18
      25.5 |        2.21
      26.0 |        2.25
      26.5 |        2.29
      27.0 |        2.33
      27.5 |        2.37
      28.0 |        2.41
      28.5 |        2.45
      29.0 |        2.48
      29.5 |        2.52
      30.0 |        2.56
      30.5 |        2.60
      31.0 |        2.64
      31.5 |        2.67
      32.0 |        2.71
      32.5 |        2.75
      33.0 |        2.78
      33.5 |        2.82
      34.0 |        2.86
      34.5 |        2.89
      35.0 |        2.93
      35.5 |        2.97
      36.0 |        3.00
      36.5 |        3.04
      37.0 |        3.07
      37.5 |        3.11
      38.0 |        3.15
      38.5 |        3.18
      39.0 |        3.22
      39.5 |        3.25
      40.0 |        3.29
      40.5 |        3.32
      41.0 |        3.36
      41.5 |        3.39
      42.0 |        3.42
      42.5 |        3.46
      43.0 |        3.49
      43.5 |        3.53
      44.0 |        3.56
      44.5 |        3.59
      45.0 |        3.63
      45.5 |        3.66
      46.0 |        3.69
      46.5 |        3.73
      47.0 |        3.76
      47.5 |        3.79
      48.0 |        3.83
      48.5 |        3.86
      49.0 |        3.89
      49.5 |        3.92
      50.0 |        3.96
      50.5 |        3.99
      51.0 |        4.02
      51.5 |        4.05
      52.0 |        4.08
      52.5 |        4.12
      53.0 |        4.15
      53.5 |        4.18
      54.0 |        4.21
      54.5 |        4.24
      55.0 |        4.27
      55.5 |        4.30
      56.0 |        4.33
      56.5 |        4.36
      57.0 |        4.39
      57.5 |        4.42
      58.0 |        4.45
      58.5 |        4.48
      59.0 |        4.51
      59.5 |        4.54
      60.0 |        4.57
      60.5 |        4.60
      61.0 |        4.63
      61.5 |        4.66
      62.0 |        4.69
      62.5 |        4.72
      63.0 |        4.75
      63.5 |        4.78
      64.0 |        4.81
      64.5 |        4.84
      65.0 |        4.87
      65.5 |        4.89
      66.0 |        4.92
      66.5 |        4.95
      67.0 |        4.98
      67.5 |        5.01
      68.0 |        5.03
      68.5 |        5.06
      69.0 |        5.09
      69.5 |        5.12
      70.0 |        5.15
      70.5 |        5.17
      71.0 |        5.20
      71.5 |        5.23
      72.0 |        5.25
      72.5 |        5.28
      73.0 |        5.31
      73.5 |        5.33
      74.0 |        5.36
      74.5 |        5.39
      75.0 |        5.41
      75.5 |        5.44
      76.0 |        5.47
      76.5 |        5.49
      77.0 |        5.52
      77.5 |        5.54
      78.0 |        5.57
      78.5 |        5.60
      79.0 |        5.62
      79.5 |        5.65
      80.0 |        5.67
      80.5 |        5.70
      81.0 |        5.72
      81.5 |        5.75
      82.0 |        5.77
      82.5 |        5.80
      83.0 |        5.82
      83.5 |        5.85
      84.0 |        5.87
      84.5 |        5.90
      85.0 |        5.92
      85.5 |        5.94
      86.0 |        5.97
      86.5 |        5.99
      87.0 |        6.02
      87.5 |        6.04
      88.0 |        6.06
      88.5 |        6.09
      89.0 |        6.11
      89.5 |        6.14
      90.0 |        6.16
      90.5 |        6.18
      91.0 |        6.21
      91.5 |        6.23
      92.0 |        6.25
      92.5 |        6.27
      93.0 |        6.30
      93.5 |        6.32
      94.0 |        6.34
      94.5 |        6.37
      95.0 |        6.39
      95.5 |        6.41
      96.0 |        6.43
      96.5 |        6.45
      97.0 |        6.48
      97.5 |        6.50
      98.0 |        6.52
      98.5 |        6.54
      99.0 |        6.56
      99.5 |        6.59
     100.0 |        6.61
